name,affinity
antivir1285,-6.1
antivir2979,-4.8
antivir1309,-6.3
antivir1774,-7.0
antivir847,-6.1
antivir261,-6.9
antivir2857,-6.6
antivir1841,-5.3
antivir2382,-5.5
antivir3338,-6.0
antivir2466,-6.0
antivir1494,-5.7
antivir2489,-5.7
antivir2914,-5.7
antivir2116,-5.8
antivir665,-6.2
antivir2866,-7.7
antivir3015,-4.4
antivir2002,-5.8
antivir3099,-5.3
antivir3095,-4.5
antivir611,-6.1
antivir731,-6.5
antivir3524,-6.3
antivir458,-6.7
antivir3802,-6.1
antivir2697,-5.3
antivir3194,-5.4
antivir246,-6.8
antivir885,-6.3
antivir120,-7.7
antivir3893,-7.1
antivir2987,-4.9
antivir1287,-6.6
antivir2948,-4.9
antivir2519,-7.2
antivir3416,-6.1
antivir1720,-6.1
antivir402,-5.9
antivir1931,-5.7
antivir1195,-6.3
antivir1855,-6.7
antivir276,-6.9
antivir3084,-5.0
antivir3605,-5.9
antivir713,-6.0
antivir3923,-6.9
antivir1902,-5.9
antivir3520,-7.0
antivir1362,-5.6
antivir3777,-5.5
antivir2003,-6.3
antivir3354,-6.0
antivir954,-4.9
antivir1916,-6.7
antivir1121,-6.4
antivir756,-6.1
antivir2384,-6.8
antivir1810,-6.9
antivir992,-5.7
antivir3545,-6.6
antivir2380,-6.1
antivir1704,-6.4
antivir3884,-6.8
antivir1383,-5.7
antivir933,-6.2
antivir88,-7.3
antivir114,-6.3
antivir473,-6.7
antivir3779,-6.2
antivir480,-6.1
antivir3426,-5.4
antivir3897,-6.9
antivir537,-5.3
antivir2281,-7.1
antivir471,-4.9
antivir1409,-6.2
antivir3089,-4.5
antivir575,-6.3
antivir2922,-5.5
antivir3478,-6.7
antivir3634,-5.5
antivir1198,-5.9
antivir2198,-6.3
antivir940,-5.4
antivir1220,-5.8
antivir1490,-6.0
antivir2607,-5.3
antivir1657,-6.5
antivir781,-7.2
antivir1294,-5.1
antivir112,-7.6
antivir3356,-5.7
antivir2966,-6.0
antivir1650,-6.0
antivir2434,-6.2
antivir2098,-5.6
antivir3372,-6.0
antivir1921,-5.5
antivir3401,-5.8
antivir234,-6.5
antivir2073,-5.7
antivir2698,-5.6
antivir2157,-6.0
antivir2418,-6.4
antivir674,-6.2
antivir2646,-6.2
antivir2622,-5.0
antivir160,-6.1
antivir1145,-6.5
antivir3498,-6.3
antivir2915,-5.7
antivir1732,-6.5
antivir3563,-5.9
antivir2433,-6.8
antivir3249,-5.9
antivir700,-6.1
antivir3028,-6.5
antivir1862,-6.7
antivir3718,-6.3
antivir3556,-5.8
antivir2100,-6.2
antivir138,-6.9
antivir3754,-6.8
antivir654,-7.1
antivir2635,-5.9
antivir153,-6.7
antivir3127,-5.0
antivir140,-7.0
antivir3283,-5.8
antivir3736,-6.4
antivir707,-5.9
antivir2420,-5.8
antivir716,-6.4
antivir3335,-5.3
antivir2997,-6.5
antivir2235,-5.8
antivir721,-5.1
antivir1814,-5.8
antivir340,-5.7
antivir2040,-6.4
antivir761,-5.7
antivir2,-7.1
antivir1072,-6.2
antivir3887,-6.4
antivir2302,-6.8
antivir2995,-6.1
antivir1600,-6.1
antivir3352,-5.9
antivir1876,-6.5
antivir579,-5.2
antivir3207,-5.1
antivir2981,-6.4
antivir2740,-5.7
antivir944,-5.3
antivir2518,-6.7
antivir744,-6.3
antivir3686,-6.0
antivir1194,-6.3
antivir582,-5.6
antivir3651,-6.1
antivir851,-6.5
antivir1225,-6.8
antivir3755,-5.4
antivir1228,-6.0
antivir3169,-5.4
antivir329,-4.6
antivir2471,-6.6
antivir3376,-5.7
antivir1467,-6.6
antivir839,-6.9
antivir2304,-5.7
antivir382,-5.5
antivir795,-7.2
antivir2435,-6.4
antivir2680,-6.0
antivir146,-6.8
antivir2768,-6.3
antivir1413,-6.7
antivir2625,-5.1
antivir352,-6.3
antivir2908,-7.1
antivir596,-6.6
antivir254,-7.4
antivir2110,-5.6
antivir3819,-6.1
antivir2162,-6.0
antivir2139,-5.5
antivir2353,-6.9
antivir332,-6.5
antivir1256,-6.4
antivir3132,-5.0
antivir3650,-6.2
antivir34,-8.1
antivir2287,-5.4
antivir1574,-5.8
antivir1412,-6.0
antivir2436,-5.9
antivir1301,-5.9
antivir1548,-6.5
antivir738,-6.1
antivir2524,-5.2
antivir3730,-6.8
antivir2057,-6.7
antivir2624,-6.6
antivir2752,-5.9
antivir3264,-5.3
antivir3843,-6.0
antivir1809,-6.8
antivir3594,-6.5
antivir3823,-6.3
antivir3117,-5.4
antivir2851,-5.8
antivir2967,-6.0
antivir3031,-6.0
antivir1888,-6.3
antivir372,-5.3
antivir3538,-6.0
antivir2273,-6.0
antivir2059,-6.4
antivir2495,-6.2
antivir3077,-4.8
antivir1556,-6.3
antivir928,-6.1
antivir619,-5.9
antivir1656,-7.4
antivir1215,-6.2
antivir3325,-6.1
antivir2212,-5.2
antivir2061,-6.8
antivir1433,-5.9
antivir2047,-6.8
antivir497,-6.2
antivir3198,-5.4
antivir1329,-5.5
antivir2308,-6.0
antivir156,-6.1
antivir1324,-6.5
antivir2318,-5.9
antivir681,-6.1
antivir1886,-6.3
antivir1075,-6.2
antivir818,-6.4
antivir3791,-5.6
antivir1552,-6.7
antivir2075,-6.2
antivir875,-6.1
antivir3842,-5.9
antivir2442,-6.0
antivir2623,-6.5
antivir2314,-6.0
antivir3447,-5.1
antivir2913,-6.3
antivir1950,-6.3
antivir2407,-6.6
antivir1643,-7.1
antivir1002,-6.1
antivir3639,-6.4
antivir3644,-5.9
antivir224,-6.6
antivir1110,-5.9
antivir3413,-6.1
antivir1342,-6.0
antivir2131,-5.7
antivir2530,-7.0
antivir3770,-5.9
antivir2959,-6.4
antivir2249,-6.2
antivir3285,-5.6
antivir3547,-6.2
antivir641,-6.2
antivir2843,-5.0
antivir759,-5.2
antivir1229,-7.0
antivir2379,-6.4
antivir6,-6.9
antivir2703,-7.1
antivir849,-6.8
antivir3722,-5.8
antivir3536,-5.4
antivir396,-5.8
antivir987,-6.9
antivir657,-5.6
antivir3123,-5.4
antivir3034,-5.7
antivir2148,-5.9
antivir3630,-6.2
antivir3618,-6.7
antivir1246,-6.1
antivir1208,-6.0
antivir870,-6.4
antivir3330,-5.5
antivir2153,-5.9
antivir3671,-5.7
antivir1313,-5.6
antivir2720,-5.0
antivir698,-5.8
antivir318,-6.2
antivir3911,-6.8
antivir2917,-6.1
antivir3635,-6.4
antivir1847,-5.2
antivir3228,-6.0
antivir328,-5.2
antivir2327,-6.0
antivir600,-6.0
antivir1254,-6.7
antivir3562,-6.2
antivir1937,-6.6
antivir3515,-6.2
antivir1160,-6.3
antivir1933,-6.1
antivir2905,-5.9
antivir1887,-6.2
antivir1172,-6.2
antivir2500,-6.6
antivir3782,-6.4
antivir3885,-7.0
antivir2858,-6.1
antivir3699,-6.2
antivir2813,-5.9
antivir2531,-6.1
antivir2575,-5.6
antivir1135,-6.5
antivir3346,-5.6
antivir3374,-6.1
antivir427,-6.4
antivir2009,-5.4
antivir2584,-5.7
antivir949,-5.6
antivir3355,-6.5
antivir434,-6.2
antivir1992,-6.3
antivir1771,-6.3
antivir800,-6.3
antivir2627,-6.4
antivir3591,-6.4
antivir242,-6.8
antivir1815,-6.0
antivir1672,-6.3
antivir2950,-4.7
antivir1150,-6.1
antivir2563,-5.6
antivir807,-6.4
antivir2906,-6.4
antivir1156,-5.2
antivir1216,-5.7
antivir1320,-6.2
antivir2220,-5.9
antivir1341,-6.1
antivir373,-5.7
antivir257,-6.9
antivir3604,-6.3
antivir907,-6.2
antivir1037,-5.8
antivir1659,-7.3
antivir3442,-6.2
antivir2941,-6.5
antivir2034,-6.7
antivir3261,-6.5
antivir504,-6.6
antivir518,-5.8
